ID	UMAP_1	UMAP_2	orig.ident	color_A951	color_A952	color_A953	color_A954	color_A955
A961_AbeWTA17_1755	-3.61449313860466	1.542648995433	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_1798	-7.53980661135246	1.77374156764522	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_1802	6.20438360471199	-0.0879210288189383	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_1840	0.243908398336867	-0.706986045327041	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_1881	3.82912468213508	1.46999296000972	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_1897	1.01180588502357	-4.15286723324284	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_1913	-0.838094807677766	4.54151686481014	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_1972	6.89742159146736	-0.517656838383529	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_2000	-1.02221382360985	4.09381278804317	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_2029	-1.25701010923912	-5.01372090527043	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_2141	0.184391133970717	-0.721149122204635	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_2207	-2.75854206781914	3.90753110698238	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_2247	-1.21178931694557	1.49053498557582	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A963_AbeWTA17_2365	5.61625170010994	-3.2305215949677	A963	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_2394	5.7438886095948	-1.1246888990067	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_2410	-4.40224004488518	3.22685560039058	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_2509	4.54687380094002	-3.12808433720097	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_2533	1.48291563291023	-5.57490864941106	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_2577	4.76008915204475	0.951604569468644	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A965_AbeWTA17_2582	-2.11872828703453	4.38888558200374	A965	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A961_AbeWTA17_2622	-7.37062526445915	2.7685120945312	A961	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A964_AbeWTA17_2623	-0.346050474309226	0.258376311648634	A964	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A962_AbeWTA17_2676	-4.48639322023918	3.87384613803401	A962	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
