ID	UMAP_1	UMAP_2	orig.ident	color_A951	color_A952	color_A953	color_A954	color_A955
A953_AbeWTA16_3371	-4.21490465825444	-2.98369573851959	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A954_AbeWTA16_3437	3.31503380114192	-0.264378123487393	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A953_AbeWTA16_3463	-2.26486813252812	0.441015727315982	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_3523	-0.146801791843232	2.28552294472321	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_3529	-7.04217087453252	1.29720032909973	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A951_AbeWTA16_3537	3.76023543650264	-0.237130873407284	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_3540	6.87383282953853	-2.50456260939972	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_3588	1.69179356867427	1.78564656475647	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_3624	-6.00036656087285	-1.6900423695697	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_3664	-4.04904567426091	4.31282306412323	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A951_AbeWTA16_3681	6.92495883280391	-1.88535284301178	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_3693	5.69798863703364	-2.08301471969024	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_3699	0.630955226961319	-3.07924365302459	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_3735	-7.23752056783086	-2.7834718157901	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_3887	-7.73601042455083	0.699455685411533	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_3948	-3.96592723554021	-2.22774433394806	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A953_AbeWTA16_3985	-8.45040022557622	-0.0304349889411129	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_4053	3.10282290751094	1.22058141926392	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_4123	-4.48034822171574	4.35206294754609	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A951_AbeWTA16_4145	-1.23047351067906	-5.10549902221099	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_4191	-0.377149127181824	2.19906426170929	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A951_AbeWTA16_4213	5.08341229731197	-2.53082083960907	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_4225	8.74489224726314	-1.78123592635528	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_4258	-5.03038393681889	7.99268270233735	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_4323	-4.17500530904179	3.75498986939057	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_4336	-5.09490811055547	0.842073983942112	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A952_AbeWTA16_4342	-1.46492867892629	-5.12760757705108	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_4450	-4.9574416798914	2.98261285523041	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A953_AbeWTA16_4477	-5.71235405629521	2.4176693032132	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
