ID	UMAP_1	UMAP_2	orig.ident	color_A951	color_A952	color_A953	color_A954	color_A955
A952_AbeWTA16_14	7.29437363916988	-0.646911316121975	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_29	6.3194137888586	-3.97585510512726	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_60	5.0686379748022	-3.01673030158416	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A954_AbeWTA16_67	-1.72771870320683	-0.402526550496975	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A952_AbeWTA16_82	8.68663132959956	-3.3469049861087	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_86	5.88508427912349	-3.21334242125885	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_149	-4.9946001691187	5.2033126423703	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_207	-7.4028819722498	1.58881974915131	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A953_AbeWTA16_307	1.27806568915004	1.37576854923828	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_337	8.41600812250728	-0.942678325380246	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_338	-8.02049242680913	-0.811275356019894	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_412	-6.44348704045659	4.43738628128632	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_434	-1.50849419062978	-3.68643593093292	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_453	-0.498724024500903	-4.34765123626129	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A954_AbeWTA16_473	3.02980340296382	-1.04714345237152	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A954_AbeWTA16_592	-6.75770985310918	2.13312173584565	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A954_AbeWTA16_605	-1.89253472512608	-0.0183850755347408	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A953_AbeWTA16_688	-8.55030714696294	-0.36926769515411	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A954_AbeWTA16_707	3.92948258692378	0.981786794458469	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A951_AbeWTA16_882	5.84911263758296	-2.17715620299713	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_904	7.69600594812984	-3.33793162604705	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_917	-4.74710642522221	6.4836728642331	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_955	-4.81071793263799	6.11981416443451	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_973	7.09061492258662	-3.9519755770816	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_1049	-3.94332181638127	4.62156749466523	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A951_AbeWTA16_1193	7.95656789118404	-1.19029831191436	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A954_AbeWTA16_1273	-1.9547641200388	7.36232972839936	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A953_AbeWTA16_1274	-6.30287157719975	6.92429471710785	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_1295	9.19498360926265	-0.935177080835263	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_1322	-4.89620625203496	2.75724125603302	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_1399	-6.50608097737676	-2.11197065612213	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A953_AbeWTA16_1435	-5.23066126531011	6.05323100784882	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_1489	0.729132659975235	-2.31101798316375	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_1497	-1.20334272807484	-4.84908794661895	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_1511	-6.22749554341679	1.59018219212159	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_1566	-1.4984835309351	-5.07249712249176	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_1580	-1.41451876586324	1.53523767689331	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_1622	7.8886309939062	-4.57537817260162	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_1717	-6.55034720128423	4.83745218018158	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A954_AbeWTA16_1722	-2.48400568192845	-1.4259631564273	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A955_AbeWTA16_1748	-5.88195025151616	3.31167221764191	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A954_AbeWTA16_1883	-1.13917099660283	-0.161642127241055	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A954_AbeWTA16_1975	3.47559083277339	-1.24262856742279	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A954_AbeWTA16_2098	5.62401927286739	0.351350664590438	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A955_AbeWTA16_2120	-4.36661850636845	0.572708911691745	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_2145	0.0948165136014858	1.65845907429322	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A954_AbeWTA16_2292	5.01015532786006	-2.79926156302826	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A953_AbeWTA16_2321	-8.97960650151616	-0.810810558999935	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_2347	7.06831229502315	0.153797871862491	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_2357	-6.11782061284428	5.77962184647187	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_2451	-8.4838784856165	-0.172070526088635	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_2485	-5.7337735814417	0.713063097988208	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A954_AbeWTA16_2521	3.12222135836238	1.37696064213379	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A952_AbeWTA16_2537	-2.38116215890294	-6.20510696669952	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_2586	-3.91988121693974	-2.11979293128387	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_2591	-4.23568569844609	3.76079273918732	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A952_AbeWTA16_2594	6.58832801157588	-2.52661656638519	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_2595	4.54423249537105	-2.09165262481109	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_2677	0.0059769230520168	1.71251726845368	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A955_AbeWTA16_2724	0.166639156881515	0.910434968267521	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A954_AbeWTA16_2774	2.9934848623907	-1.03716825744049	A954	#e5e5e57F	#e5e5e57F	#e5e5e57F	#8CAB00	#e5e5e57F
A953_AbeWTA16_2916	-5.76133476918584	4.55445123413666	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_2926	1.82873595530147	2.63777185181244	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
A952_AbeWTA16_3010	6.27495969111079	-2.63215636512176	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_3052	-0.0264851970041355	-2.05821108123199	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A951_AbeWTA16_3172	7.34885180765742	-1.0716010262622	A951	#F8766D	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F
A953_AbeWTA16_3182	-8.2898071927393	0.562973685060581	A953	#e5e5e57F	#e5e5e57F	#BE9C00	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_3199	5.4626661616003	-1.42121588488952	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A952_AbeWTA16_3350	5.42135251337642	-1.11356341143982	A952	#e5e5e57F	#E18A00	#e5e5e57F	#e5e5e57F	#e5e5e57F
A955_AbeWTA16_3369	-2.43068134015447	0.690992004667362	A955	#e5e5e57F	#e5e5e57F	#e5e5e57F	#e5e5e57F	#24B700
